Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10,Obj11,Obj12,Obj13,Obj14,Obj15,Obj16,Obj17,Obj18,Obj19,Obj20
0.90103,0.79787,0.89703,0.77957,0.88842,0.81183,0.66426,0.68208,0.84649,0.64331,0.72077,0.69907,0.70401,0.82494,0.73093,0.71115,0.73087,0.75732,0.75136,0.77558
0.70413,0.73146,0.80641,0.77799,0.7639,0.72095,0.8098,0.66421,0.71226,0.71761,0.69192,0.64502,0.77683,0.69631,0.64703,0.57345,0.71218,0.68539,0.81134,0.82059
0.77223,0.90791,0.82987,0.75328,0.75715,0.63466,0.73141,0.76431,0.89629,0.63857,0.61878,0.8052,0.72311,0.89381,0.74987,0.61832,0.737,0.71037,0.65933,0.73638
0.70564,0.7765,0.8617,0.68997,0.78593,0.89653,0.77466,0.62264,0.70314,0.60603,0.68463,0.80215,0.75881,0.77859,0.6775,0.58691,0.65354,0.62908,0.71322,0.71685
0.86022,0.64849,0.74154,0.66424,0.74713,0.65329,0.60228,0.72428,0.62665,0.7142,0.77495,0.65411,0.64921,0.58561,0.74598,0.62892,0.78356,0.65548,0.85176,0.72396
0.42483,0.2935,0.25059,0.11177,0.15213,0.29436,0.23202,0.12917,0.18065,0.31165,0.24996,0.13275,0.22984,0.19333,0.25466,0.068667,0.29606,0.19454,0.30074,0.1822
0.097638,0.17028,0.091827,0.15802,0.19106,0.1494,0.31827,0.15559,0.10977,0.22431,0.16914,0.051752,0.15294,0.22558,0.13816,0.16559,0.2673,0.095838,0.15185,0.17906
0.26385,0.14106,0.18613,0.15457,0.24263,0.23713,0.21421,0.21824,0.18425,0.19644,0.1692,0.23251,0.36106,0.37522,0.27412,0.34111,0.20568,0.27562,0.25381,0.20667
0.28089,0.086243,0.10165,0.26624,0.11389,0.31774,0.16222,0.23722,0.26523,0.28278,0.27941,0.20545,0.2207,0.26207,0.21582,0.11005,0.31777,0.34499,0.16569,0.28037
0.4364,0.33232,0.0030224,0.31031,0.15745,0.27784,0.19424,0.2413,0.24009,0.22061,0.20442,0.25243,0.11436,0.17079,0.24617,0.21792,0.2615,0.25249,0.20961,0.20687
